year,month,district,PM25,resid,평균풍속(m/s),월강수량합(mm),EV,대여건수,car,녹지 면적 합계,공원율,oil_use,bus_traffic,subway_traffic,제조업 사업체수,현년.전기사용량,현년.가스사용량,현년.수도사용량,현년.탄소,construction_waste_emissions,construction_waste_recycling,trash_emissions,trash_recycling,garbage_emissions,garbage_recycling,designated_waste_emissions,designated_waste_recycling
2017,1,영등포구,32.41465053763441,-1.044653388355419,1.75,11.5,1679,13194.0,24.24,9374.0,12.6,26450,444005,184777,4186,76125843,4229803,1500701,42250353,81554.8,0.988026455830926,5772.2,0.4065520945220193,4789.5,1.0,5772.2,0.4065520945220193
2017,1,용산구,33.6505376344086,-0.5951539039431526,1.5,13.0,989,2229.0,28.0,29596.0,8.2,51703,228229,93317,1054,31206704,2776372,715057,19688113,39962.1,0.9806066247769761,5821.8,0.4861554845580405,2321.9,1.0,5821.8,0.4861554845580405
2017,1,은평구,29.88844086021505,-0.0558134923405716,0.7,13.5,1443,3672.0,22.1,20240.0,47.12,11696,316545,159215,957,36155535,6244401,1701905,29882439,61733.4,0.9950286230792407,7219.9,0.41477028767711466,2687.7,1.0,7219.9,0.41477028767711466
2017,1,종로구,34.211693548387096,-0.6811329909938809,2.3,14.9,713,12214.0,23.96,14248.0,48.38,3614,222367,313686,4450,19440295,2240860,352047,13379095,14895.5,0.9796045785639959,8360.7,0.45346681497960695,3267.4,1.0,8360.7,0.45346681497960695
2017,1,중구,33.844086021505376,-0.5843333553337853,2.6,9.0,592,4778.0,20.74,74363.0,31.45,29432,233703,384472,9947,61347347,5031905,886766,37577147,23742.9,0.948165556861209,10496.6,0.34849379799173064,3329.4,1.0,10496.6,0.34849379799173064
2017,1,중랑구,35.43010752688172,0.2259024472934543,1.8,13.0,853,2.0,23.45,11504.0,28.15,10486,249245,80272,3578,27338057,3439912,892029,19592894,44339.3,0.9953156680416695,8388.6,0.6385809312638581,2811.7,1.0,8388.6,0.6385809312638581
2017,2,강남구,29.953869047619047,-4.987983358908537,1.9,12.5,3444,0.0,24.76,16918.0,16.69,69060,471316,559820,1707,111458168,8311769,2284250,66634999,49120.4,0.9647152710482813,12502.0,0.47704367301231804,7330.4,1.0,12502.0,0.47704367301231804
2017,2,강동구,30.28943452380953,-4.9221769952949685,1.2,10.5,1908,0.0,24.85,15271.0,13.76,11162,138160,148072,1566,39583691,6956259,2137422,33075127,53600.4,0.9866269654704068,7294.0,0.6345489443378118,3206.0,1.0,7294.0,0.6345489443378118
2017,2,강북구,25.37202380952381,-6.024267319696275,2.1,10.5,677,0.0,21.26,33009.0,60.75,8060,381426,97676,1541,29895623,5865538,1042921,26160801,19129.6,0.9980971896955505,4090.8,0.5126625598904859,2206.4,1.0,4090.8,0.5126625598904859
2017,2,강서구,27.036475996184823,-4.679049777664922,1.6,13.0,2269,0.0,24.78,11367.0,10.45,71271,233560,219389,1258,58893928,6232725,1635424,39475291,76190.8,0.8936827018485171,8265.6,0.5450542005420054,4718.0,1.0,8265.6,0.5450542005420054
2017,2,관악구,30.25967261904762,-4.779669116930184,1.85,15.5,1335,0.0,23.1,7419.0,37.12,9062,474075,181831,1350,47094129,6709639,1507193,35497891,29705.2,0.9905740409086624,7044.8,0.4817170111287758,3085.6,1.0,7044.8,0.4817170111287758
2017,2,광진구,31.523065476190474,-2.5775992189746924,1.8,13.5,1066,4273.0,25.6,9045.0,19.69,15706,143146,226012,1853,37741030,5169409,1448079,28062429,20983.2,0.989191353082466,6162.8,0.6369831894593366,2774.8,1.0,6162.8,0.6369831894593366
2017,2,구로구,27.857142857142858,-4.35418177699785,2.1,12.5,1474,0.0,23.85,13495.0,15.86,17082,413174,195878,3729,60005776,6822621,2008699,41392009,31897.6,0.9432935393258427,5838.0,0.3462829736211031,2864.4,1.0,5838.0,0.3462829736211031
2017,2,금천구,29.57514880952381,-4.69116797134853,1.8,12.5,836,0.0,23.55,17785.0,16.94,7445,226230,42178,5412,53059559,3784258,704198,31207786,32911.2,0.9384890250127617,5101.6,0.6059275521405049,1668.8,1.0,5101.6,0.6059275521405049
2017,2,노원구,28.25297619047619,-6.065092097573112,1.3,8.5,1646,0.0,24.93,26282.0,40.46,12030,232010,195294,848,76937326,7415522,3056668,50247013,31945.2,0.9953545446577263,7784.0,0.6125899280575539,3883.6,1.0,7784.0,0.6125899280575539
2017,2,도봉구,26.042410714285715,-6.071622726625503,1.3,10.0,875,0.0,22.96,7420.0,48.79,9291,178867,72723,1090,37508061,6514463,1113952,30865651,10836.0,0.9537467700258397,4516.4,0.5585864848109114,2304.4,1.0,4516.4,0.5585864848109114
2017,2,동대문구,27.324404761904763,-4.5128627146398905,1.9,13.5,988,5042.0,24.16,16864.0,8.97,12234,370872,89517,3539,43887627,5486986,1651062,31447354,31133.2,0.9916359384836766,8979.6,0.6510757717492983,2850.4,1.0,8979.6,0.6510757717492983
2017,2,동작구,28.15029761904762,-5.816157188554806,1.4500000000000002,12.25,1513,137.0,27.2,5242.0,28.04,7890,310406,263721,651,51234099,6574380,1281597,36875362,26866.0,0.9776967170401251,4970.0,0.48901408450704226,2562.0,1.0,4970.0,0.48901408450704226
2017,2,마포구,31.791666666666668,-4.337254617935981,3.0,8.5,1555,16478.0,25.19,20891.0,18.61,7766,449905,333862,1336,48028409,5886136,1283207,33975017,39986.8,0.9890063721027937,9206.4,0.5970194647201946,3049.2,1.0,9206.4,0.5970194647201946
2017,2,서대문구,25.49702380952381,-6.168675389511022,1.5,11.0,1063,6468.0,24.26,5264.0,29.14,11898,325060,48805,754,35968408,3353372,641399,22975100,31651.2,0.9918612880396319,6199.2,0.46657633242999097,2153.2,1.0,6199.2,0.46657633242999097
2017,2,서초구,26.547619047619047,-4.477146410387854,1.9,12.0,2794,0.0,26.38,8173.0,33.8,30443,435548,316093,1064,138223776,5539212,1372532,71470395,59267.6,0.9791184390796995,10995.6,0.5757575757575758,5012.0,1.0,10995.6,0.5757575757575758
2017,2,성동구,27.73586309523809,-5.98097314135709,2.2,13.0,1222,7130.0,25.71,9994.0,18.4,14359,133404,149224,4612,43272561,5275937,1088955,30527203,51354.8,0.7342020609563273,4760.0,0.48176470588235293,2399.6,1.0,4760.0,0.48176470588235293
2017,2,성북구,28.090029761904763,-4.031681376455055,1.6,10.5,1405,0.0,25.12,16074.0,33.93,13409,372381,126122,2424,68446080,8797937,1892808,49356932,22915.2,0.9930351906158357,7002.8,0.570171931227509,2671.2,1.0,7002.8,0.570171931227509
2017,2,송파구,27.839285714285715,-3.266484653400547,1.9,8.0,3408,0.0,24.79,27109.0,13.12,32902,329963,296346,1487,91342898,6944384,2466231,55103595,92136.8,0.9706132620190846,10124.8,0.5024889380530975,5283.6,1.0,10124.8,0.5024889380530975
2017,2,양천구,31.78422619047619,-3.900953774408217,1.3,11.0,1824,1150.0,26.12,13251.0,16.72,15176,222751,80851,1190,112679132,3367326,1594031,55847988,23578.8,0.995724973281083,5236.0,0.45882352941176474,3035.2,1.0,5236.0,0.45882352941176474
2017,2,영등포구,28.264880952380956,-4.06133348624698,1.9,12.5,1732,12864.0,24.44,9374.0,12.6,25810,482363,205370,4186,75612372,4959113,1876829,43791165,73662.4,0.988026455830926,5213.6,0.4065520945220193,4326.0,1.0,5213.6,0.4065520945220193
2017,2,용산구,27.502232142857142,-5.245462193232266,1.6,10.5,1010,2584.0,27.32,29596.0,8.2,51247,253013,103802,1054,30856468,3098511,720830,20263122,36094.8,0.9806066247769761,5258.4,0.48615548455804053,2097.2,1.0,5258.4,0.48615548455804053
2017,2,은평구,24.14211309523809,-5.9323956677017735,0.8,11.5,1469,3366.0,22.45,20240.0,47.12,10729,344297,173360,957,37430021,7497115,1316867,33101066,55759.2,0.9950286230792408,6521.2,0.41477028767711466,2427.6,1.0,6521.2,0.41477028767711466
2017,2,종로구,28.59970238095238,-4.739461305360642,2.4,11.1,730,11662.0,23.3,14248.0,48.38,3625,246639,358222,4450,19559737,2461010,396048,13937484,13454.0,0.9796045785639959,7551.6,0.45346681497960695,2951.2,1.0,7551.6,0.45346681497960695
2017,2,중구,28.761160714285715,-4.462326036363088,2.5,7.5,602,4866.0,19.75,74363.0,31.45,29932,254944,433904,9947,59207342,4866541,848632,36286713,21445.2,0.948165556861209,9480.8,0.3484937979917307,3007.2,1.0,9480.8,0.3484937979917307
2017,2,중랑구,30.073660714285715,-4.212413486813695,2.0,11.5,876,0.0,23.63,11504.0,28.15,9721,273036,87678,3578,29057825,3930703,952108,21441399,40048.4,0.9953156680416696,7576.8,0.6385809312638581,2539.6,1.0,7576.8,0.6385809312638581
2017,3,강남구,47.63037634408602,7.416749869451376,1.8,12.0,3536,0.0,25.71,16918.0,16.69,81550,479285,547540,1707,100970161,6208298,2132972,57426087,54383.3,0.9647152710482814,13841.5,0.47704367301231804,8115.8,1.0,13841.5,0.47704367301231804
2017,3,강동구,42.68077956989247,4.774965773729615,1.2,11.5,1978,0.0,24.92,15271.0,13.76,12414,141600,153125,1566,36433722,5711718,1703683,28807765,59343.3,0.9866269654704068,8075.5,0.634548944337812,3549.5,1.0,8075.5,0.634548944337812
2017,3,강북구,33.22715053763441,-0.2968768098238872,2.0,9.0,691,0.0,21.31,33009.0,60.75,8660,396496,102858,1541,26332974,4908357,944727,22473547,21179.2,0.9980971896955504,4529.1,0.5126625598904859,2442.8,1.0,4529.1,0.5126625598904859
2017,3,강서구,35.608198924731184,-0.7194940707537212,1.5,7.5,2326,0.0,24.98,11367.0,10.45,114728,242456,227262,1258,52530977,6041614,1496293,36303123,84354.1,0.8936827018485172,9151.2,0.5450542005420054,5223.5,1.0,9151.2,0.5450542005420054
2017,3,관악구,41.27956989247312,1.9335150348103567,1.65,8.75,1371,0.0,23.53,7419.0,37.12,9461,499555,187402,1350,42740191,6445929,1265576,32980898,32887.9,0.9905740409086624,7799.6,0.4817170111287758,3416.2,1.0,7799.6,0.4817170111287758
2017,3,광진구,43.7768817204301,6.600564006272332,1.8,12.5,1093,11466.0,26.11,9045.0,19.69,17073,148150,236203,1853,34153138,4006030,1274840,23877687,23231.4,0.9891913530824659,6823.1,0.6369831894593366,3072.1,1.0,6823.1,0.6369831894593366
